misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,pred_accuracy
20,7560,388,-1.1571577457627118,0.39667440950870514,-0.0014001362025737763,0.3103242814540863,0.0
40,14760,382,-0.62921209,0.47586568295955656,-0.00041007064282894135,0.21767512783408166,0.0
60,21960,383,-0.031479630000000015,0.4005212724208832,-0.0004900352098047734,0.1803554467856884,0.0
80,29160,379,-0.56204822,0.40845552682876585,-0.00016644541174173355,0.23799344301223754,0.0
100,36360,378,-0.24928573999999998,0.5543896734714509,-0.0007331419736146926,0.18839608877897263,0.0
120,43560,380,-0.12298669999999998,0.5151054710149765,-0.0002149544656276703,0.32698898017406464,0.0
140,50760,380,-0.12976179999999998,0.12580556198954582,0.00044203996658325194,0.48534595370292666,0.0
160,57960,379,-0.7524154300000001,0.052217763289809226,-9.054727852344512e-05,0.27798372209072114,0.0
180,65160,379,-0.6594858599999999,0.04079042337834835,-3.244578838348389e-05,0.18196396678686141,0.0
200,72360,380,-0.8536199600000001,0.36105469465255735,0.0009604264050722122,0.16801132410764694,0.0
220,79560,381,-0.15654228,0.2925968527793884,-0.00011528953909873962,0.2918508514761925,0.0
240,86760,381,-0.32443821000000006,0.11445910930633545,-0.0008059430867433548,0.16674450859427453,0.0
260,93960,380,-0.4043615500000001,0.1703396201133728,-0.0007857578806579113,0.31244807690382004,0.0
280,101160,379,-0.5613858899999999,0.348346135020256,0.0003723569214344025,0.2772543214261532,0.0
300,108360,380,-0.46909796000000015,0.5785997986793519,-0.0013942182064056396,0.09944338425993919,0.0
320,115560,381,-0.18317848000000006,0.5640230596065521,-0.0017716078087687492,0.08863702565431594,0.0
340,122760,383,-0.38481269000000007,0.5560241937637329,-0.0013123005628585815,0.25669335573911667,0.0
360,129960,383,-0.8348086399999999,0.34697452187538147,-0.0008246179670095444,0.2174497663974762,0.0
380,137160,383,-0.32357327,0.3026847779750824,-0.00011433418840169906,0.33964253440499304,0.0
400,144360,383,-0.6459486699999999,0.361252897977829,-0.0017185628414154053,0.15105309188365937,0.0
420,151560,384,-0.57547379,0.5965373694896698,0.0008209988474845887,0.1195392794907093,0.0
440,158760,384,-0.48945717,0.8526642382144928,-0.005093540251255036,0.05075803846120834,0.0
460,165960,385,-0.8843239999999999,0.7478438317775726,-0.004759212397038937,0.09010738097131252,0.0
480,173160,385,-0.9123008699999999,0.6288726508617402,-0.0007517393678426743,0.12031808346509934,0.0
500,180360,386,-0.6992615899999999,0.9722894549369812,-0.00477055050432682,0.09263038262724876,0.0
520,187560,386,-0.8246688499999999,0.468306240439415,-0.002516867220401764,0.1639534868299961,0.0
540,194760,386,-0.87392935,0.7910532355308533,-0.0009338878095149994,0.07199941333383322,0.0
560,201960,387,-1.13518448,0.6004813730716705,-0.003985873609781265,0.10919633731245995,0.0
580,209160,387,-0.8899791199999999,0.8220548629760742,-0.0058235680684447285,0.021968110743910075,0.0
600,216360,388,-1.40719913,0.7202096998691558,-0.0018814139068126679,0.186748506128788,0.0
620,223560,389,-1.03813666,0.9649389266967774,-0.0040384668856859205,0.015778855746611954,0.0
640,230760,389,-0.6547430700000001,0.6352100759744644,-0.0022864867001771926,0.14052389711141586,0.0
660,237960,389,0.18242463,0.8618388950824738,-0.0014406368136405945,0.15458038938231766,0.0
680,245160,390,-0.48695933999999996,0.6992399752140045,-0.0037365945521742106,0.22001527510583402,0.0
700,252360,390,-0.5196570899999999,0.7194979012012481,-0.0010575046762824059,0.08771959096193313,0.0
720,259560,391,-0.9239281700000003,1.0164361834526061,-0.004767736047506332,0.09672758388333022,0.0
740,266760,391,-1.1063513999999999,0.837258380651474,-0.0021359797567129133,0.13918222170323133,0.0
760,273960,392,-0.43252195,0.7419502019882203,-0.0007636725902557373,0.07529148263856769,0.0
780,281160,392,-0.07324653999999996,0.7736272394657135,-0.0025072045624256133,0.19215335845947265,0.0
800,288360,392,0.08999836000000004,0.29423039108514787,-0.0009500281885266304,0.1613067977130413,0.0
820,295560,391,-0.12274615999999999,0.4171216368675232,-0.001295945793390274,0.26913274377584456,0.0
840,302760,391,-0.35285907999999994,0.5252051383256913,-0.0032098472118377687,0.2547561049461365,0.0
860,309960,391,-0.6514818099999999,0.7295877039432526,-0.0018620282411575318,0.19927261397242546,0.0
880,317160,391,-0.68954591,0.7917736351490021,-0.00034408494830131533,0.17359179696068167,0.0
900,324360,391,-0.5772067,0.8016165018081665,-0.007934808731079102,0.046901390235871074,0.0
920,331560,391,-0.42102857999999993,0.5624804019927978,-9.968578815460205e-05,0.31789069473743437,0.0
940,338760,391,-0.61489401,0.41973830461502076,0.00021718665957450866,0.2615837797522545,0.0
960,345960,391,-0.18616671999999995,0.3635143399238586,-0.00020669028162956238,0.26347609236836433,0.0
980,353160,391,-0.7556105599999999,0.46564748883247375,-0.0017493516206741333,0.2168326448649168,0.0
1000,360360,391,-0.4316758200000001,0.39250538498163223,-0.0025002464652061464,0.24953171275556088,0.0
1020,367560,391,-0.3833241600000001,0.7128219723701477,-0.0005926415324211121,0.09649324119091034,0.0
1040,374760,391,-0.23397623,0.7740292310714721,9.304285049438476e-06,0.2026772156357765,0.0
